symbol,open,high,low,close,volume,unlocked_mkt_cap,circulating_supply,total_supply,volume_24h,volume_market_cap_24h
BTCUSDT,108377.4,108926.15,107350.1,108816.33,10708.39159,2228575639923.0728,19915362.0,19915362.0,62278552317.82398,0.027945451436404353
ETHUSDT,4360.18,4415.61,4257.2,4373.7,340319.1826,538582325110.4408,120705395.86464128,120705395.86464128,35498300942.07149,0.06591063109022798
BNBUSDT,862.3,864.0,851.61,862.0,101039.981,119052115632.31877,139187655.97,139187655.97,1929008795.4458075,0.016203061870847968
NEOUSDT,6.657,7.196,6.627,6.926,2312567.59,466152322.91372687,70538831.0,100000000.0,26251110.67651208,0.056314447844917216
LTCUSDT,109.91,111.27,108.3,110.84,227194.068,8586093723.147959,76259233.23347135,84000000.0,452000975.79434526,0.05264337781170016
QTUMUSDT,2.666,3.123,2.635,2.964,10708005.4,282336301.59916526,105794253.0,107822406.0,89037654.25059411,0.3153602768977312
ADAUSDT,0.8266,0.8444,0.8054,0.8224,81522223.5,30020154561.461952,35740930890.560295,44994598363.527115,899285285.3120701,0.029956051141272866
XRPUSDT,2.8195,2.8349,2.7604,2.8181,68213469.6,169276263545.02075,59482264023.0,99985819185.0,4573019564.949141,0.027015125861003537
TUSDUSDT,0.9972,0.9974,0.9967,0.9967,207800.0,493001457.8424991,494515083.0,494515083.0,49313596.1119722,0.10002728253133601
IOTAUSDT,0.192,0.1948,0.189,0.1927,7303278.0,757831312.9294748,4011255526.0,4600000000.0,15891937.45641704,0.020970283472432835
XLMUSDT,0.3613,0.3625,0.3518,0.36,45077663.0,11479857226.782993,31714039908.95702,50001786886.69552,214038209.0583289,0.018644675175834825
ONTUSDT,0.1505,0.1651,0.1486,0.1553,60301664.0,128413707.42597646,914697857.0,1000000000.0,8835775.7719491,0.06880710750480003
TRXUSDT,0.3386,0.3408,0.336,0.339,202396931.9,32363757348.005154,94660200274.91591,94660197750.38931,699789005.1920242,0.02162261314924727
ETCUSDT,20.93,21.12,20.56,20.94,283676.4,3206685355.6930437,153373533.27405825,210700000.0,101999922.72908317,0.03180852232601988
ICXUSDT,0.1263,0.1285,0.1247,0.1279,2543270.4,139603682.25942782,1074852054.8754234,1088927643.7847552,1556958.34709288,0.011152702578428831
VETUSDT,0.02424,0.02477,0.02415,0.02471,191258210.8,2059222296.8537312,85985041177.0,85985041177.0,42778134.62551171,0.020773927463233123
USDCUSDT,0.9998,1.0,0.9997,0.9998,1147376224.0,72677383235.25322,72687803796.08705,72687803796.08705,13172551295.225386,0.18124691215954303
LINKUSDT,23.43,23.52,22.83,23.51,2759889.54,16108876395.196644,678099970.4527867,1000000000.0,864326333.2291735,0.05365528370972534
ONGUSDT,0.1663,0.173,0.1656,0.1694,9001825.0,70627373.9224414,423506273.0414432,1000000000.0,2968681.81485123,0.04203301991818714
HOTUSDT,0.00093,0.000956,0.000915,0.000953,495113356.0,165568949.49751663,175026802279.06143,177619433541.14133,5655299.73699295,0.03415676522775651
ZILUSDT,0.01117,0.01134,0.01104,0.01131,67121161.1,224446751.1354406,19518770127.767723,20199925539.311054,11716100.32409971,0.052199910512537216
ZRXUSDT,0.2458,0.252,0.2425,0.2509,6671500.0,234153717.28182358,848396562.8973439,1000000000.0,50998962.05153212,0.2178012061630036
FETUSDT,0.617,0.628,0.607,0.625,7018518.6,1480150005.5757287,2378115753.9887285,2714493896.672,64252662.68039167,0.043409561489275904
BATUSDT,0.1506,0.1543,0.1486,0.1534,3430533.0,235230970.45121023,1495696056.9526057,1500000000.0,12024647.70604836,0.051118471700317275
ZECUSDT,40.17,40.34,39.53,40.05,37553.205,676324235.6315807,16197893.7905448,16197893.7905448,86232497.04412232,0.12750171071955554
IOSTUSDT,0.003304,0.003432,0.003286,0.00336,362790978.0,90487763.94693828,27544260136.0,46493890628.0,7892645.89319605,0.08722334986445539
CELRUSDT,0.00765,0.00789,0.00752,0.00788,63499260.6,60130143.46155397,7803424106.9912,10000000000.0,5088709.40610062,0.0846282598569591
DASHUSDT,22.7,24.47,22.34,24.24,80662.143,297041675.7639409,12398845.12593899,12398845.12593899,32612474.88325218,0.10979090661059066
THETAUSDT,0.778,0.794,0.762,0.784,1969130.0,792407283.6490402,1000000000.0,1000000000.0,29266190.41576372,0.0369332678026289
ENJUSDT,0.0662,0.0687,0.0651,0.068,13004888.9,127809199.53266075,1879417692.0403953,1923161850.0255423,10024693.51784314,0.07843483532092226
ATOMUSDT,4.483,4.56,4.418,4.505,964652.69,2109273347.4155722,466423500.0,466423500.0,103541981.38120672,0.049088934588811604
TFUELUSDT,0.0341,0.03481,0.03384,0.03462,8577400.0,244034755.9827073,7058125034.0,7058125034.0,1269394.28210094,0.0052016946397212835
ONEUSDT,0.01032,0.01074,0.01016,0.01073,103357337.1,151015333.37151852,14701176251.762915,14701176251.762915,7781762.26771175,0.05152961685398888
ALGOUSDT,0.2364,0.2373,0.2296,0.2337,21725657.0,2039794832.6695871,8732519856.419783,10000000000.0,51555393.66138355,0.025274793736932005
DOGEUSDT,0.21391,0.21885,0.21126,0.21595,538763691.0,33394245511.881283,150792346383.70517,150792346383.70517,1799140813.4316628,0.05387577368057468
DUSKUSDT,0.0636,0.0654,0.0624,0.0647,5706353.0,30976362.296729825,485699999.31632507,500000000.0,2225063.93830287,0.07183102770391377
ANKRUSDT,0.01512,0.0153,0.01483,0.01522,35255843.3,151807091.53430405,10000000000.0,10000000000.0,9266546.97168645,0.061041594816355974
WINUSDT,5.344e-05,5.489e-05,5.321e-05,5.454e-05,5697344698.0,53370371.50174449,993701859243.3864,993701859243.3864,13645586.60740349,0.2556771898609974
COSUSDT,0.003375,0.00346,0.003329,0.003426,136597268.3,17347155.539894912,5176458774.0,9900474904.0,1248991.43372158,0.07199978295283944
MTLUSDT,0.713,0.726,0.706,0.724,298395.3,61444573.92983388,86147287.0,86147287.0,1001062.64503346,0.016292124446604758
DENTUSDT,0.000755,0.000765,0.000741,0.000759,387677212.0,75446025.42003107,99999999999.99994,99999999999.99994,2383650.92877543,0.031594121963415794
WANUSDT,0.1035,0.1073,0.102,0.1059,2031740.0,21025415.83443343,198641597.63349724,198641597.63385797,4982427.17940135,0.23697163559740894
FUNUSDT,0.009458,0.009592,0.009415,0.009464,107397938.0,101327087.03777364,10806201658.398026,10806201658.398026,3458597.70159353,0.03413300236593402
