symbol,open,high,low,close,volume,unlocked_mkt_cap,circulating_supply,total_supply,volume_24h,volume_market_cap_24h
BTCUSDT,108816.33,109480.02,108076.93,108246.35,9489.51596,2228150942468.6865,19915362.0,19915362.0,58135210165.125854,0.026091235138995913
ETHUSDT,4373.7,4498.47,4372.63,4391.83,356586.1861,539200004535.7766,120705309.85690114,120705309.85690114,36125746690.82203,0.06699878780958919
XRPUSDT,2.818,2.8693,2.7707,2.7757,56440031.3,168884555501.68405,59482264023.0,99985819185.0,4281698868.9289823,0.02535281486344254
BNBUSDT,862.0,867.7,857.0,857.65,94241.193,119005478066.67957,139187650.13,139187650.13,1893564830.6291215,0.015911577024783217
SOLUSDT,202.7,206.66,200.28,200.62,3303223.948,113915774135.3875,541036727.9381069,608899845.3374643,6483904319.881559,0.05691840633216888
USDCUSDT,0.9998,0.9999,0.9997,0.9999,899383265.0,72688579630.2755,72692307905.38547,72692307905.38547,12988733047.0145,0.1786901479308115
DOGEUSDT,0.21595,0.22134,0.21327,0.21371,490963065.0,33052611440.13116,150794926383.70526,150794926383.70526,1803463350.3596349,0.05456341486439833
TRXUSDT,0.339,0.3438,0.339,0.341,175641360.9,32343213824.379143,94660548301.9893,94660543185.7987,693422110.4072889,0.02143949312435403
ADAUSDT,0.8225,0.838,0.8094,0.8113,70084168.9,29874088743.32145,35740930890.560295,44994598363.527115,844435990.7792861,0.02826650205248739
LINKUSDT,23.51,24.06,23.18,23.2,4221549.06,16171092464.880583,678099970.4527867,1000000000.0,823639318.9622904,0.05093281859287004
WBETHUSDT,4712.56,4845.69,4712.56,4728.33,261.2508,14743910977.92422,3064163.30079143,3064163.30079143,3970136.89498243,0.0002692729833303281
WBTCUSDT,108947.75,109617.1,108226.88,108377.51,54.10387,14253591752.348242,127404.59964837,127404.59964837,185950788.09208745,0.013045889858705442
SUIUSDT,3.3066,3.3505,3.2454,3.2494,16307578.2,12045276571.37901,3568833706.3227763,10000000000.0,824192294.5133699,0.06842452222904931
BCHUSDT,552.8,556.0,542.4,544.2,22285.821,11727784513.308212,19920603.125,19920603.125,748476313.6029834,0.0638207764436363
XLMUSDT,0.36,0.3649,0.3521,0.3528,36067170.0,11448418824.831518,31714050706.855724,50001786886.69552,204483640.4503162,0.017861299763666315
AVAXUSDT,23.78,24.2,23.38,23.4,1062889.49,10635781944.654776,422275285.48916084,457277985.48916084,739832225.7060512,0.06956068012261842
HBARUSDT,0.22575,0.22871,0.21784,0.21896,79075844.0,9243856187.906847,42392927394.97008,50000000000.0,188073565.55253032,0.020345790948000153
LTCUSDT,110.83,111.91,108.76,108.89,214891.815,8595592922.546476,76259889.48347135,84000000.0,451962389.13554525,0.052580711209582236
TONUSDT,3.127,3.188,3.124,3.165,2378855.01,8206022199.548684,2568070767.9586415,5139587439.856162,135268006.8421486,0.016483992311108798
