symbol,open,high,low,close,volume,unlocked_mkt_cap,circulating_supply,total_supply,volume_24h,volume_market_cap_24h
NEOUSDT,6.683,7.211,6.398,7.026,2073375.87,465260245.79569703,70538831.0,100000000.0,26477172.55774845,0.0569083062587191
BNBUSDT,839.49,900.71,839.23,900.21,430842.5317,119005478066.67957,139187650.13,139187650.13,1893564830.6291215,0.015911577024783217
BTCUSDT,112500.0,117429.05,111684.79,116935.99,23128.09037,2228150942468.6865,19915362.0,19915362.0,58135210165.125854,0.026091235138995913
LTCUSDT,114.76,123.66,112.51,122.96,648084.544,8595592922.546476,76259889.48347135,84000000.0,451962389.13554525,0.052580711209582236
ETHUSDT,4225.3,4887.59,4207.39,4832.07,1277976.63526,539200004535.7766,120705309.85690114,120705309.85690114,36125746690.82203,0.06699878780958919
ADAUSDT,0.8519,0.9426,0.8218,0.9314,373507351.1,29874088743.32145,35740930890.560295,44994598363.527115,844435990.7792861,0.02826650205248739
QTUMUSDT,2.326,2.45,2.126,2.376,4080462.7,288440172.9031577,105794505.5,107822406.0,112986244.7945767,0.3917146618564511
XRPUSDT,2.8518,3.1056,2.7826,3.0744,255042164.6,168884555501.68405,59482264023.0,99985819185.0,4281698868.9289823,0.02535281486344254
IOTAUSDT,0.1933,0.2146,0.1865,0.2121,26965469.0,754821409.7889189,4011255526.0,4600000000.0,16309951.12277574,0.0216076954247187
TUSDUSDT,0.9977,0.999,0.9976,0.9985,592278.0,493041092.38673514,494515083.0,494515083.0,48658687.09324975,0.09869093640390221
ONTUSDT,0.1336,0.1437,0.1261,0.1424,11406912.0,128481853.50381164,914697857.0,1000000000.0,10533442.81042725,0.08198389518185739
XLMUSDT,0.3912,0.4291,0.3808,0.4249,124671764.0,11448418824.831518,31714050706.855724,50001786886.69552,204483640.4503162,0.017861299763666315
ICXUSDT,0.1258,0.1375,0.1211,0.1371,8133017.2,139396343.93576598,1074889880.0979688,1088942604.184146,1664054.79952588,0.011937578508462738
TRXUSDT,0.3537,0.3675,0.3534,0.3667,657013945.0,32343213824.379143,94660548301.9893,94660543185.7987,693422110.4072889,0.02143949312435403
ETCUSDT,21.02,25.52,20.53,24.5,3170640.64,3189522527.8643193,153376611.61017925,210700000.0,102506660.37536341,0.03213855976242347
VETUSDT,0.02366,0.02549,0.02294,0.02534,665498987.7,2058668111.6604722,85985041177.0,85985041177.0,38880621.64879708,0.01888629907296563
USDCUSDT,1.0002,1.0002,0.9999,1.0002,2697231510.0,72688579630.2755,72692307905.38547,72692307905.38547,12988733047.0145,0.1786901479308115
ONGUSDT,0.1786,0.1837,0.1661,0.1832,8303918.0,71077268.44373041,423506273.0414432,1000000000.0,3172175.74131413,0.04462996131914438
LINKUSDT,24.82,27.87,24.09,26.79,17391120.82,16171092464.880583,678099970.4527867,1000000000.0,823639318.9622904,0.05093281859287004
HOTUSDT,0.000959,0.001045,0.000913,0.001036,2094262271.0,164817860.58295238,175026802279.06143,177619433541.14133,5631381.14785252,0.034167299150314245
ZILUSDT,0.01139,0.01227,0.01106,0.01213,315588410.9,223506132.33815554,19518923624.075005,20200078738.979336,12789698.12910804,0.05722303005878047
ZRXUSDT,0.2431,0.2657,0.2339,0.2642,10147251.0,233089904.0736245,848396562.8973439,1000000000.0,53618285.72310606,0.23003263884895683
BATUSDT,0.1487,0.1588,0.141,0.1586,11943756.0,233778021.65298063,1495696056.9526057,1500000000.0,11721728.39527038,0.050140420867578715
FETUSDT,0.664,0.713,0.638,0.701,38326836.2,1472183173.448247,2378126993.9887285,2714493896.672,63778220.99068902,0.04332220483223114
ZECUSDT,42.56,45.99,41.18,43.95,163258.721,667756476.8000168,16198182.5405448,16198182.5405448,87730638.19476013,0.13138118646962096
CELRUSDT,0.00803,0.00877,0.00757,0.00868,209555139.7,60317044.11299408,7803424106.9912,10000000000.0,5621056.34585102,0.09319184035810663
DASHUSDT,22.02,23.3,21.11,23.21,107113.974,295903027.1553655,12398977.45026203,12398977.45026203,32614605.38651136,0.11022058712967096
IOSTUSDT,0.003468,0.003718,0.003348,0.003682,539907224.0,91106272.11035168,27544260136.0,46493890628.0,8733043.14229528,0.09585556449634398
ENJUSDT,0.0686,0.0759,0.0662,0.0755,32999672.6,127739141.44941615,1879417692.8187156,1923161849.9242923,9997845.79763187,0.07826767648654465
ONEUSDT,0.01075,0.01193,0.01031,0.01186,260207631.1,150653364.273543,14701343726.762915,14701343726.762915,8296854.01183136,0.05507247748391911
THETAUSDT,0.778,0.86,0.743,0.852,8377341.1,791394016.7244098,1000000000.0,1000000000.0,26710042.78967855,0.03375062513137485
TFUELUSDT,0.03434,0.03719,0.0336,0.03648,25702444.0,242354720.8488707,7058314076.0,7058314076.0,1263232.39258253,0.005212328392687946
ATOMUSDT,4.43,4.854,4.296,4.819,3788204.74,2106414326.4279113,466580260.0,466580260.0,102830535.54274055,0.04881781055730005
DOGEUSDT,0.21473,0.24222,0.20828,0.24054,2470614941.0,33052611440.13116,150794926383.70526,150794926383.70526,1803463350.3596349,0.05456341486439833
ALGOUSDT,0.2484,0.2696,0.2392,0.2665,66964405.0,2034435447.008818,8732556366.738949,10000000000.0,50710255.48522076,0.024925959464469048
DUSKUSDT,0.0647,0.0722,0.062,0.0715,15418353.0,31025797.616657455,485699999.31632507,500000000.0,2106606.47414956,0.06789854366285633
WINUSDT,6.094e-05,6.426e-05,5.966e-05,6.363e-05,9535910554.0,53223379.1298399,993701859243.3864,993701859243.3864,13944824.97052439,0.2620056298286812
ANKRUSDT,0.01528,0.01636,0.01461,0.01631,121885884.3,151060077.35312325,10000000000.0,10000000000.0,9130210.3157631,0.06044092175605077
MTLUSDT,0.716,0.773,0.693,0.771,1378155.5,61110159.56236015,86147287.0,86147287.0,1032534.32530391,0.01689627932079371
COSUSDT,0.003406,0.003634,0.003297,0.003611,629270775.0,17407521.989100914,5176458774.0,9900474904.0,1237298.57437719,0.0710783864097302
DENTUSDT,0.000777,0.000845,0.000735,0.000842,1985528734.0,75488415.8966811,99999999999.99994,99999999999.99994,2479868.60318524,0.03285098215041852
FUNUSDT,0.009447,0.00997,0.009354,0.009857,327597554.0,102350513.65311912,10806201658.398026,10806201658.398026,3278032.04313584,0.03202750944900551
WANUSDT,0.108,0.1168,0.1049,0.116,3935029.0,20986720.533277493,198641291.381513,198641291.381513,4805281.03481529,0.22896769541462275
CHZUSDT,0.03956,0.04287,0.03828,0.04251,106254882.0,389204553.0582711,9815850385.0,9815850385.0,19616276.64682281,0.050400943392576114
CVCUSDT,0.0907,0.0981,0.0882,0.097,7062605.0,89520550.64258938,1000000000.0,1000000000.0,7212352.21421594,0.08056644158737632
XTZUSDT,0.7997,0.8761,0.7747,0.8679,5344792.8,769674080.059648,1056072557.212367,1076136536.767433,18774125.30529024,0.02439230551175023
BANDUSDT,0.839,1.342,0.814,1.117,24578924.4,126232768.02735768,165312842.775347,165312842.775347,10646138.37026383,0.08433735975714765
NKNUSDT,0.0275,0.0306,0.0263,0.0302,33592726.0,20978979.358683355,791841355.5752226,791841355.5752226,2221889.59153726,0.10591028064564081
RVNUSDT,0.01325,0.01463,0.01276,0.01451,276249551.8,203837292.5846795,15546724973.47193,15546724973.47193,5946215.10334843,0.029171379917530115
HBARUSDT,0.23555,0.25897,0.22814,0.25692,300397487.0,9243856187.906847,42392927394.97008,50000000000.0,188073565.55253032,0.020345790948000153
KAVAUSDT,0.3718,0.3868,0.3679,0.3854,9815052.7,398660169.6780983,1082853067.0,1082853067.0,7170679.16480501,0.01798694655298782
ARPAUSDT,0.02236,0.02366,0.0213,0.02341,88609669.1,33837746.95432821,1519586598.3877385,1999999999.9877386,27812331.71429876,0.8219321384440244
IOTXUSDT,0.02797,0.02976,0.02743,0.02969,63489059.0,261552718.58324215,9441368979.0,9441368983.0,4130136.84327787,0.01579083890104322
STXUSDT,0.657,0.716,0.634,0.709,8933358.6,1144136470.5073729,1796125156.4377,1796125156.4377,26695302.26850728,0.023332271067864063
RLCUSDT,1.002,1.104,0.953,1.073,1789185.0,111803493.34255704,86999784.9868455,86999784.9868455,41261571.73289654,0.3690544051828001
BCHUSDT,554.8,608.0,550.6,599.8,66814.965,11727784513.308212,19920603.125,19920603.125,748476313.6029834,0.0638207764436363
FTTUSDT,0.9185,0.985,0.9071,0.9247,5565661.53,262010418.39495668,328895103.813207,328895103.813207,4869051.82486284,0.01858342830292798
OGNUSDT,0.0741,0.078,0.0712,0.0763,47210185.0,41549776.01734113,661796659.0,1409664846.0,7995493.72654677,0.19243169260911988
BNTUSDT,0.7713,0.8533,0.7515,0.8479,892299.0,86226189.38880353,115188101.74069732,115188101.74069732,5582733.42366829,0.06474521793483323
LSKUSDT,0.379,0.412,0.367,0.411,1513951.9,74294852.0780994,200461556.11068702,400000000.0,3135186.3943728,0.0421992413562795
COTIUSDT,0.05276,0.05801,0.05104,0.05773,36493723.0,116639346.96391177,2333766279.1488094,2333771710.0778956,6847395.97252428,0.05870571252977664
MBLUSDT,0.002204,0.002325,0.002154,0.002322,1208897031.0,40730091.60078042,18713887214.0,30000000000.0,3938336.85710186,0.0966935428406058
SOLUSDT,180.3,202.4,177.27,200.69,6594118.389,113915774135.3875,541036727.9381069,608899845.3374643,6483904319.881559,0.05691840633216888
DATAUSDT,0.01571,0.01719,0.01527,0.01706,81586046.7,18664662.922696598,1180603853.0,1242523352.0,1693533.90954758,0.09073477064984706
HIVEUSDT,0.2046,0.2187,0.1992,0.2178,4967246.0,98038989.04816987,487070868.352,487070868.352,1226720.98533201,0.01251258297583302
CTSIUSDT,0.0834,0.0859,0.0783,0.0853,50995876.0,66655863.03112937,879461769.7111657,1000000000.0,14659487.788815,0.2199279571546284
CHRUSDT,0.0992,0.1069,0.094,0.1062,24873095.0,81085040.5742908,846281914.378197,846281914.378197,5117980.43696475,0.06311867640092766
ARDRUSDT,0.08829,0.09435,0.08487,0.093,5119102.0,84083295.74740115,998466231.2566,998466231.2566,6030507.45666319,0.07172063610327241
MDTUSDT,0.02825,0.03,0.02728,0.02918,92702101.5,16762989.081415812,676157012.5,1000000000.0,3439045.23425647,0.20515704076125343
KNCUSDT,0.3848,0.4215,0.3717,0.4199,7084125.0,70424174.52207142,187633785.53428543,240463056.34363836,6184100.05555072,0.08781217667823114
SCUSDT,0.003287,0.00332,0.003054,0.003306,918520272.0,169120599.01630464,56025636522.075195,61432095676.30304,5647787.24799268,0.03339502864135543
ZENUSDT,7.614,8.499,7.46,8.361,1108034.16,123830894.42571896,17338525.73404655,21000000.0,8714180.86214706,0.07037162173914795
LRCUSDT,0.0871,0.0942,0.0832,0.0935,20902141.0,144721163.01212993,1367105325.0232475,1373873397.4424574,41479259.92686202,0.2866150261892616
COMPUSDT,44.99,50.01,43.55,49.45,139866.816,407945404.3418654,9457131.85118033,10000000.0,21664909.71830004,0.05310737536865219
SNXUSDT,0.652,0.712,0.617,0.711,3632328.3,236048014.4101977,343466216.99839866,343889850.0967736,10981582.42616308,0.046522663847023894
SXPUSDT,0.1733,0.1946,0.1685,0.1891,10916133.7,112829284.4713296,654616063.8483478,654616063.8483478,4467335.11113483,0.039593755575663504
DGBUSDT,0.00863,0.00911,0.00802,0.00909,126944475.9,148980973.5205763,17882803314.47804,17882803314.47804,1683581.90344342,0.01130065043648607
VTHOUSDT,0.001848,0.001979,0.001792,0.001968,506737192.0,173649439.46580493,93592069830.0,93592069830.0,1408536.13645835,0.008111377386482835
MKRUSDT,1616.4,1786.0,1506.0,1711.4,9441.4102,0.0,0.0,870827.47,94881670.6854106,0.0
DCRUSDT,16.54,17.55,16.18,17.39,26548.79,281784603.64142543,16996792.48829643,16996792.48829643,1792445.31971253,0.0063610477526069515
STORJUSDT,0.256,0.2765,0.2468,0.2749,5971396.0,107793616.60275716,418973378.63491154,424999998.00000113,5855853.18341553,0.054324674948013095
MANAUSDT,0.2773,0.3114,0.2675,0.3073,18160830.0,614285642.8803941,1969729010.368757,2193179327.320146,40026912.52916599,0.06516009773804778
YFIUSDT,5413.0,6100.0,5290.0,5996.0,739.91763,179012312.34037802,33827.12753195,36646.35801769,13525634.30610299,0.07555700571246209
CRVUSDT,0.8592,0.943,0.8248,0.9369,46662890.9,1096634470.983523,1384726285.0178359,2300971220.8738394,97604611.4210272,0.08900377838158775
JSTUSDT,0.03429,0.035,0.03276,0.03488,80232000.7,343038980.77426153,9900000000.0,9900000000.0,15034217.54864859,0.04382655730469864
LUNAUSDT,0.1523,0.1647,0.1482,0.1635,13968176.33,105056397.10817191,709984438.91686,1186707049.0,9628227.97559856,0.09164818364830084
SANDUSDT,0.2757,0.3086,0.2677,0.3044,25624741.0,724723017.6723797,2573289192.2233224,3000000000.0,46626361.96462502,0.06433680292696742
DOTUSDT,3.797,4.207,3.69,4.18,13159075.02,6227440265.258847,1613805698.5465431,1613805698.5465431,200618399.37062162,0.03221522661402563
NMRUSDT,8.41,9.0,8.19,8.97,287471.63,104418412.05628724,7533734.14130295,10663944.49561734,32027976.7573756,0.3067272919273161
RSRUSDT,0.007944,0.009016,0.007711,0.008883,859507841.6,454910305.0166178,59676150306.0,100000000000.0,17063247.50810002,0.03750903710013055
PAXGUSDT,3331.5,3365.5,3318.28,3364.74,2432.5274,1012622067.2776135,284178.535,284178.535,126625216.5448182,0.12504686658196587
TRBUSDT,35.4,38.52,33.41,38.32,267242.718,94306159.84087722,2710544.0,2784795.0,28810174.31188829,0.3054962089485957
SUSHIUSDT,0.7617,0.9043,0.7325,0.8819,12357812.7,215408446.69875082,276152099.8482565,285195141.7981629,25567250.15286845,0.11869195727790705
KSMUSDT,14.41,16.22,13.93,16.06,176154.895,259474509.45341074,16996300.83992567,16996300.83992567,12619479.92496488,0.04863475780934365
RUNEUSDT,1.276,1.394,1.238,1.388,13759872.0,425142833.15883225,351324449.0,425415266.0,41884386.15081316,0.09851838696094228
UMAUSDT,1.488,1.61,1.46,1.565,9999452.4,126436209.57443878,89893367.33881076,125993015.73858462,14783018.10145443,0.11692076305681239
FIOUSDT,0.01867,0.02011,0.0181,0.01994,64388486.0,16026376.409099413,817965171.423674,839242769.7719939,3100512.82830973,0.19346312286471254
DIAUSDT,0.6694,0.7387,0.6489,0.7323,2406845.5,85643773.87210712,119676104.0,168817248.0,4196685.23665122,0.04900163837850234
