symbol,open,high,low,close,volume,unlocked_mkt_cap,circulating_supply,total_supply,volume_24h,volume_market_cap_24h
SPKUSDT,0.07145,0.077425,0.068769,0.076225,182353027.0,98055482.0526332,1631937871.4414046,10000000000.0,41566678.77365178,0.4239097896774405
HIVEUSDT,0.2046,0.2187,0.1992,0.2178,4967246.0,98038989.04816987,487070868.352,487070868.352,1226720.98533201,0.01251258297583302
SIGNUSDT,0.06735,0.07229,0.06626,0.07178,27352694.0,97135856.33475472,1350000000.0,10000000000.0,24411506.34671517,0.25131302968686403
PEOPLEUSDT,0.01911,0.02174,0.01819,0.02161,583689656.4,94945747.56368606,5060137334.7,5060137334.7,25642763.44264702,0.27007806142604557
BICOUSDT,0.1049,0.1216,0.1002,0.1165,22753974.87,94895559.39117272,978270075.1767402,1000000000.0,6898091.79405889,0.07269140767297651
TRBUSDT,35.4,38.52,33.41,38.32,267242.718,94306159.84087722,2710544.0,2784795.0,28810174.31188829,0.3054962089485957
XVGUSDT,0.006201,0.006811,0.00602,0.006741,478742096.0,92409212.58587301,16521951235.741348,16521951235.741348,6661009.66312694,0.0720816623876875
CYBERUSDT,2.133,2.297,2.11,2.263,6835717.93,92165582.93714336,51078133.0,100000000.0,11971325.4274721,0.12988932577615775
IOSTUSDT,0.003468,0.003718,0.003348,0.003682,539907224.0,91106272.11035168,27544260136.0,46493890628.0,8733043.14229528,0.09585556449634398
YGGUSDT,0.1527,0.1808,0.1459,0.1769,52913378.9,90415151.0354686,594969456.3894259,999716414.322777,19752973.42738968,0.2184697277079244
POWRUSDT,0.1592,0.1724,0.1541,0.1721,4440460.0,90313920.41687022,568075415.977105,1000000000.0,3668907.81536216,0.04062394588151247
CVCUSDT,0.0907,0.0981,0.0882,0.097,7062605.0,89520550.64258938,1000000000.0,1000000000.0,7212352.21421594,0.08056644158737632
API3USDT,1.5672,1.607,1.4299,1.5525,18615948.01,89065186.81311738,86421978.0,151526604.45527676,24387134.78293047,0.2738122004291218
MANTAUSDT,0.208,0.2331,0.199,0.2324,20962858.9,88752394.78053357,447152188.54624534,1000000000.0,8555619.91931611,0.0963987500334205
ILVUSDT,15.04,16.35,14.47,16.09,282347.279,88703922.25171927,6338464.32787597,9072421.97887894,15100851.50168884,0.17023882505258842
ACXUSDT,0.1716,0.1908,0.1648,0.1891,12653653.4,88434235.28397861,609227056.5951301,1000000000.0,5430413.76722595,0.06140623876927178
WAXPUSDT,0.02024,0.02173,0.01962,0.02168,36048525.0,88289729.33885437,4448107766.405597,4452986540.71772,2969714.30940231,0.03363601102461874
PIXELUSDT,0.03276,0.0364,0.03115,0.03627,105928769.0,87857011.71666978,2983899067.66,5000000000.0,8932023.38523187,0.10166545857531287
STRAXUSDT,0.04433,0.04643,0.04298,0.04611,20686194.0,87085557.38854907,2002601626.5961366,2077601626.5961366,697053.27085042,0.008004235050599514
FIDAUSDT,0.0894,0.104,0.0859,0.102,43019013.7,86273888.33155611,990911314.539031,990911314.539031,7440912.17825075,0.08624755788976202
BNTUSDT,0.7713,0.8533,0.7515,0.8479,892299.0,86226189.38880353,115188101.74069732,115188101.74069732,5582733.42366829,0.06474521793483323
DIAUSDT,0.6694,0.7387,0.6489,0.7323,2406845.5,85643773.87210712,119676104.0,168817248.0,4196685.23665122,0.04900163837850234
ANIMEUSDT,0.01638,0.01781,0.01581,0.01775,158413657.0,85581212.52448648,5538604656.0,10000000000.0,16476213.26539554,0.19252138149691872
DOLOUSDT,0.2,0.297,0.2,0.2204,157852053.0,84834770.86168522,441621967.0,998851995.6451048,193531541.676692,2.281276176159257
ARDRUSDT,0.08829,0.09435,0.08487,0.093,5119102.0,84083295.74740115,998466231.2566,998466231.2566,6030507.45666319,0.07172063610327241
AUDIOUSDT,0.0634,0.068,0.0627,0.0672,32581069.6,83959702.42619506,1352962367.0,1352962367.0,5052052.42476024,0.06017234790941829
PHAUSDT,0.124,0.147,0.1137,0.1425,116822896.0,83629091.27654861,809185855.2638077,1000000000.0,9892951.74203219,0.1182955786200966
ARKUSDT,0.432,0.4687,0.4159,0.4669,2873042.0,82652001.42156155,191068130.0,191068130.0,2626403.71300207,0.031776649903566836
CHRUSDT,0.0992,0.1069,0.094,0.1062,24873095.0,81085040.5742908,846281914.378197,846281914.378197,5117980.43696475,0.06311867640092766
XAIUSDT,0.0479,0.0538,0.046,0.0538,137926079.8,80952707.43560374,1719034968.3523984,1994964252.4534578,13342304.2129556,0.16481603439352707
SPELLUSDT,0.0004862,0.0005177,0.0004705,0.0005113,2681329950.0,80533502.21015395,166146311645.1774,196008739620.0,5803092.50432825,0.07205811674730042
AEVOUSDT,0.092,0.1045,0.0884,0.1042,26253300.2,80299687.75763486,912940713.0882182,1000000000.0,9707753.23689444,0.1208940346841066
FLUXUSDT,0.2017,0.2266,0.1966,0.2253,6467764.49,79183672.09331653,390470459.4991484,390470459.4991484,3540138.46900106,0.044707935050411284
LQTYUSDT,0.903,0.999,0.846,0.989,3032883.3,78137157.71645027,95246389.81966919,100000000.0,34555912.29876065,0.44224685551219595
PUNDIXUSDT,0.2921,0.3125,0.2826,0.3109,4383330.8,77130691.70294099,258386541.0999244,258386541.0999244,24747521.30249225,0.32085180044545913
ACTUSDT,0.0392,0.044,0.0376,0.0437,136921725.5,77053878.33025543,1258035045.0,2230764830.37,224945.48932398,0.002919327283694356
EDUUSDT,0.1336,0.1438,0.1271,0.1429,14526643.0,76661543.48260541,582156794.0,1000000000.0,5013959.24963036,0.06540383902873065
