symbol,open,high,low,close,volume,unlocked_mkt_cap,circulating_supply,total_supply,volume_24h,volume_market_cap_24h
GRTUSDT,0.0896,0.0982,0.0867,0.0969,71947561.0,937095350.6545063,10468429097.052649,11343466643.985775,38899878.14215366,0.0415111206292768
PYTHUSDT,0.1177,0.1304,0.1115,0.1289,52400484.3,922881311.8379937,5749984573.62627,9999984573.62627,146900814.39408144,0.15917628031877298
RAYUSDT,3.197,3.6,3.102,3.572,6667497.7,911693941.0539794,268127089.855586,554998191.170841,56576144.76100547,0.06205607190456881
KAIAUSDT,0.1453,0.1557,0.14,0.1543,26710287.7,909451849.9042284,6110066641.565627,6110066632.047218,18677548.09689317,0.020537148941815932
CFXUSDT,0.175,0.192,0.1721,0.1896,124375347.0,907076077.4311467,5132214056.81,5132214056.81,45202188.2398209,0.04983285235328241
SUSDT,0.3223,0.3519,0.313,0.3488,143220107.3,889660112.0605246,2880000000.0,3222625000.0,59043538.48252176,0.06636639957452084
FLOKIUSDT,9.966e-05,0.00011138,9.478e-05,0.00011085,332292975721.0,888207654.5472665,9539614120003.54,9657981612922.992,49675818.85519256,0.05592815891742468
ENSUSDT,24.44,28.09,23.78,27.56,909507.93,841921916.0715512,36777219.5921461,100000000.0,53823341.94758635,0.06392913751280961
CAKEUSDT,2.623,2.857,2.544,2.857,8073878.73,825867329.1463858,345518369.7144422,362271733.25055647,57396561.66612544,0.06949852553853943
NEXOUSDT,1.289,1.353,1.261,1.346,1055858.48,821606951.9233202,646145839.5746847,1000000000.0,10281710.29011564,0.012514147143043188
WIFUSDT,0.851,0.936,0.792,0.933,76995263.97,820155538.9031911,998840054.019131,998840054.019131,147791409.80253372,0.1801992461090708
PENDLEUSDT,5.427,5.968,5.327,5.883,7796407.3,801228526.1243446,169291837.19973183,281527448.45853144,86094450.39881349,0.10745305189677218
THETAUSDT,0.778,0.86,0.743,0.852,8377341.1,791394016.7244098,1000000000.0,1000000000.0,26710042.78967855,0.03375062513137485
AUSDT,0.4891,0.5219,0.4762,0.519,10379218.4,772233379.1870649,1588573100.1065,2100000000.0,35950178.23482532,0.04655351504317297
XTZUSDT,0.7997,0.8761,0.7747,0.8679,5344792.8,769674080.059648,1056072557.212367,1076136536.767433,18774125.30529024,0.02439230551175023
IOTAUSDT,0.1933,0.2146,0.1865,0.2121,26965469.0,754821409.7889189,4011255526.0,4600000000.0,16309951.12277574,0.0216076954247187
GALAUSDT,0.01622,0.01894,0.0156,0.01885,1273625049.0,742891837.6754853,45842142181.076965,45842142181.076965,66550128.42876763,0.08958252743360802
VIRTUALUSDT,1.1846,1.36,1.133,1.3267,28589822.7,740100017.9391407,655568776.7243915,1000000000.0,132198118.33684728,0.1786219634272703
SANDUSDT,0.2757,0.3086,0.2677,0.3044,25624741.0,724723017.6723797,2573289192.2233224,3000000000.0,46626361.96462502,0.06433680292696742
JASMYUSDT,0.01498,0.01685,0.01454,0.01649,501166034.9,708481179.1928841,49444999677.16958,50000000000.0,24608261.24123375,0.034733824925692415
JTOUSDT,1.756,1.898,1.673,1.895,5315473.7,701286046.804811,373124372.7,999999671.0640484,39533961.75352278,0.05637351824358524
ZECUSDT,42.56,45.99,41.18,43.95,163258.721,667756476.8000168,16198182.5405448,16198182.5405448,87730638.19476013,0.13138118646962096
FLOWUSDT,0.374,0.415,0.36,0.412,4670058.85,661283817.3892591,1606840676.485047,1606840676.485047,25200430.76446923,0.038108343349396084
DEXEUSDT,7.089,7.234,6.954,7.183,110510.46,617403005.6407491,83733448.90505138,96504599.33609451,4578878.32785548,0.007416352505610915
MANAUSDT,0.2773,0.3114,0.2675,0.3073,18160830.0,614285642.8803941,1969729010.368757,2193179327.320146,40026912.52916599,0.06516009773804778
SYRUPUSDT,0.4088,0.4417,0.3907,0.4364,29072898.2,599981758.6476235,1193941408.7663808,1200275708.54902,103035034.18036607,0.17173027795479992
ETHFIUSDT,1.077,1.32,1.035,1.284,47327539.3,533176710.190295,466109038.0,1000000000.0,76025655.44516657,0.1425899781294506
STRKUSDT,0.1286,0.1431,0.122,0.1412,85290275.05,502833111.9619662,4077130043.348971,10000000000.0,25101070.42001759,0.04991928698187284
TUSDUSDT,0.9977,0.999,0.9976,0.9985,592278.0,493041092.38673514,494515083.0,494515083.0,48658687.09324975,0.09869093640390221
DYDXUSDT,0.6358,0.7226,0.609,0.7184,11804604.35,465780967.37895215,777765104.1081469,958342745.0,12096909.04435019,0.025971239469963856
NEOUSDT,6.683,7.211,6.398,7.026,2073375.87,465260245.79569703,70538831.0,100000000.0,26477172.55774845,0.0569083062587191
RSRUSDT,0.007944,0.009016,0.007711,0.008883,859507841.6,454910305.0166178,59676150306.0,100000000000.0,17063247.50810002,0.03750903710013055
ZROUSDT,1.923,2.092,1.847,2.09,4085022.92,452273178.10401684,239782549.94498447,1000000000.0,22425407.58429963,0.0495837663385426
ZKUSDT,0.06059,0.07128,0.05774,0.06939,156357675.1,438522258.52089274,7608756746.536252,13751372591.3152,24678742.26733562,0.05627705729368316
APEUSDT,0.5905,0.6428,0.5651,0.6414,11581309.41,433669221.9847032,752651515.0,1000000000.0,23685702.67005366,0.05461697872321944
ARUSDT,6.7,7.59,6.41,7.47,1338918.0,425209031.6199642,65652466.0,65652466.0,35529515.60497948,0.08355776327144063
