symbol,open,high,low,close,volume,unlocked_mkt_cap,circulating_supply,total_supply,volume_24h,volume_market_cap_24h
BTCUSDT,111240.01,112575.27,110528.71,112183.68,11014.15741,2234500875181.6377,19915362.0,19915362.0,62921129204.92836,0.02815891902473014
ETHUSDT,4326.49,4490.64,4283.23,4465.17,457336.6839,539409943058.7103,120705395.86464128,120705395.86464128,36953689705.73407,0.06850761685294326
XRPUSDT,2.862,2.8867,2.811,2.857,89346610.7,170191468931.8541,59482264023.0,99985819185.0,4692391247.857671,0.0275712482964498
BNBUSDT,851.8,864.06,848.91,853.85,108292.122,118835200650.32431,139187656.59,139187656.59,1926565061.280191,0.016212073953989097
TRXUSDT,0.338,0.3419,0.3366,0.3416,216920865.0,32357907015.38083,94660153525.64832,94660155852.24081,709853795.0903947,0.02193756829676829
ADAUSDT,0.8348,0.8437,0.826,0.8405,79238884.3,30072860266.206097,35740930890.560295,44994598363.527115,921461601.1099019,0.030640969729952155
XLMUSDT,0.3681,0.3688,0.3604,0.3627,42396896.0,11521405551.677279,31714039952.691357,50001786886.69552,216739361.56029245,0.018811885458605324
LTCUSDT,111.76,113.31,110.79,112.51,247742.446,8589975745.974352,76259114.48347135,84000000.0,493637500.6951666,0.05746669318903575
ETCUSDT,20.81,21.17,20.6,20.93,259014.74,3215719400.157275,153373533.27405825,210700000.0,102991875.09966335,0.032027631233815426
VETUSDT,0.02389,0.02419,0.02351,0.02401,218004274.3,2065756057.4732158,85985041177.0,85985041177.0,43107413.50334437,0.020867620524406133
