symbol,open,high,low,close,volume,unlocked_mkt_cap,circulating_supply,total_supply,volume_24h,volume_market_cap_24h
BTCUSDT,108377.4,108926.15,107350.1,108816.33,10708.39159,2227504676805.5234,19915362.0,19915362.0,62100883798.921364,0.027879126111636534
ETHUSDT,4360.18,4415.61,4257.2,4373.7,340319.1826,538088392887.82367,120705395.86464128,120705395.86464128,36256021674.273094,0.06737930450365885
BNBUSDT,862.3,864.0,851.61,862.0,101039.981,118966576709.50824,139187655.42000002,139187655.42000002,1923103528.0109873,0.016165074100659448
NEOUSDT,6.657,7.196,6.627,6.926,2312567.59,466123756.8820929,70538831.0,100000000.0,26087676.42937928,0.05596727487970157
LTCUSDT,109.91,111.27,108.3,110.84,227194.068,8584813686.332546,76259283.23347135,84000000.0,449937815.11150485,0.05241090040519207
QTUMUSDT,2.666,3.123,2.635,2.964,10708005.4,282354038.1102343,105794278.5,107822406.0,88960818.91023438,0.31506834294150604
ADAUSDT,0.8266,0.8444,0.8054,0.8224,81522223.5,30000068315.596714,35740930890.560295,44994598363.527115,897643628.6906434,0.029921386153109797
XRPUSDT,2.8195,2.8349,2.7604,2.8181,68213469.6,169253403843.2214,59482264023.0,99985819185.0,4570038482.468448,0.027001161446074385
TUSDUSDT,0.9972,0.9974,0.9967,0.9967,207800.0,492877289.8366475,494515083.0,494515083.0,49044982.15021691,0.09950749032578009
IOTAUSDT,0.192,0.1948,0.189,0.1927,7303278.0,757076644.6259924,4011255526.0,4600000000.0,15889556.39260046,0.020988041970902625
XLMUSDT,0.3613,0.3625,0.3518,0.36,45077663.0,11477264542.14708,31714039865.388065,50001786886.69552,213668381.06107196,0.018616664299793206
ONTUSDT,0.1505,0.1651,0.1486,0.1553,60301664.0,128520306.3174372,914697857.0,1000000000.0,8835974.97350791,0.06875158663008162
TRXUSDT,0.3386,0.3408,0.336,0.339,202396931.9,32362855425.034348,94660200274.91591,94660197750.38931,698278608.0960133,0.02157654505219767
ETCUSDT,20.93,21.12,20.56,20.94,283676.4,3206562726.621306,153374194.77805823,210700000.0,101902920.69844176,0.03177948769017687
ICXUSDT,0.1263,0.1285,0.1247,0.1279,2543270.4,139541155.68175948,1074859651.9810643,1088929315.0702763,1551269.04279958,0.01111692844466214
VETUSDT,0.02424,0.02477,0.02415,0.02471,191258210.8,2059437482.688536,85985041177.0,85985041177.0,42770528.69153203,0.02076806363439416
USDCUSDT,0.9998,1.0,0.9997,0.9998,1147376224.0,72681507471.62485,72686734556.44577,72686734556.44577,13134407859.244661,0.18071182500407532
LINKUSDT,23.43,23.52,22.83,23.51,2759889.54,16096533023.361109,678099970.4527867,1000000000.0,862842846.8832147,0.05360426656044252
ONGUSDT,0.1663,0.173,0.1656,0.1694,9001825.0,70608643.09241697,423506273.0414432,1000000000.0,2965789.42289313,0.04200320659060564
HOTUSDT,0.00093,0.000956,0.000915,0.000953,495113356.0,165484925.38361514,175026802279.06143,177619433541.14133,5628434.10476493,0.03401176325709126
ZILUSDT,0.01117,0.01134,0.01104,0.01131,67121161.1,224304596.45498353,19518770127.767723,20199925539.311054,11686106.86717361,0.05209927505662567
ZRXUSDT,0.2458,0.252,0.2425,0.2509,6671500.0,233804227.36478347,848396562.8973439,1000000000.0,50984173.92505399,0.21806352476898555
FETUSDT,0.617,0.628,0.607,0.625,7018518.6,1478483062.8224063,2378115753.9887285,2714493896.672,64148693.58701957,0.04338818292890044
BATUSDT,0.1506,0.1543,0.1486,0.1534,3430533.0,235086319.2899373,1495696056.9526057,1500000000.0,12057829.42040604,0.05129107238917993
ZECUSDT,40.17,40.34,39.53,40.05,37553.205,675937604.7218149,16197928.1655448,16197928.1655448,86231199.58973579,0.12757272119107002
IOSTUSDT,0.003304,0.003432,0.003286,0.00336,362790978.0,90590172.58107084,27544260136.0,46493890628.0,7911257.16230894,0.0873301919723026
CELRUSDT,0.00765,0.00789,0.00752,0.00788,63499260.6,60233958.19650233,7803424106.9912,10000000000.0,5091577.93111061,0.08453002398580986
DASHUSDT,22.7,24.47,22.34,24.24,80662.143,296899830.0308279,12398855.30473307,12398855.30473307,32518321.25862328,0.10952623736849838
THETAUSDT,0.778,0.794,0.762,0.784,1969130.0,792634497.7254176,1000000000.0,1000000000.0,29181157.16569135,0.036815401360186836
ENJUSDT,0.0662,0.0687,0.0651,0.068,13004888.9,127654698.61638644,1879417692.0403953,1923161850.0255423,10038732.21513059,0.07863973926488879
ATOMUSDT,4.483,4.56,4.418,4.505,964652.69,2108400548.4516206,466423500.0,466423500.0,103473778.25493605,0.04907690729397966
TFUELUSDT,0.0341,0.03481,0.03384,0.03462,8577400.0,243837080.75570905,7058142215.0,7058142215.0,1270025.37517369,0.005208499754170201
ONEUSDT,0.01032,0.01074,0.01016,0.01073,103357337.1,151012765.579365,14701195067.762915,14701195067.762915,7799533.66293741,0.05164817446402141
ALGOUSDT,0.2364,0.2373,0.2296,0.2337,21725657.0,2039647004.7943108,8732519856.419783,10000000000.0,51592379.02932958,0.025294758802900035
DOGEUSDT,0.21391,0.21885,0.21126,0.21595,538763691.0,33339757388.144344,150792576383.70526,150792576383.70526,1795054041.1994114,0.053841244862739605
DUSKUSDT,0.0636,0.0654,0.0624,0.0647,5706353.0,30965514.43897885,485699999.31632507,500000000.0,2221761.35111752,0.07174953787691012
ANKRUSDT,0.01512,0.0153,0.01483,0.01522,35255843.3,151753567.9283785,10000000000.0,10000000000.0,9272462.0875642,0.06110210266647849
WINUSDT,5.344e-05,5.489e-05,5.321e-05,5.454e-05,5697344698.0,53352049.94400044,993701859243.3864,993701859243.3864,13643567.88618453,0.2557271538864043
COSUSDT,0.003375,0.00346,0.003329,0.003426,136597268.3,17342826.836388305,5176458774.0,9900474904.0,1239742.48533523,0.07148445273835242
MTLUSDT,0.713,0.726,0.706,0.724,298395.3,61445159.8183769,86147287.0,86147287.0,1000458.76171086,0.01628214109407597
DENTUSDT,0.000755,0.000765,0.000741,0.000759,387677212.0,75318180.31853306,99999999999.99994,99999999999.99994,2381403.02011656,0.03161790433657866
WANUSDT,0.1035,0.1073,0.102,0.1059,2031740.0,21026025.095121406,198641574.73850167,198641563.4742911,4973402.56876201,0.2365355575417805
FUNUSDT,0.009458,0.009592,0.009415,0.009464,107397938.0,101420292.85414149,10806201658.398026,10806201658.398026,3441584.62677467,0.03393388571382076
CVCUSDT,0.0891,0.0911,0.0883,0.0909,2579849.0,90159818.42143092,1000000000.0,1000000000.0,7783758.21909297,0.08633289591056649
CHZUSDT,0.03902,0.03965,0.03847,0.03946,30865422.0,390184873.8416162,9815532666.0,9815532666.0,19907334.56140256,0.05102026217829075
BANDUSDT,0.814,0.852,0.8,0.813,1549759.5,126919063.93365058,165306391.570649,165306391.570649,10586314.402464,0.08340996280904028
XTZUSDT,0.7334,0.7447,0.725,0.7369,2596108.2,770034026.945979,1056072557.212367,1076136536.767433,19445524.7562909,0.025252812311961748
RVNUSDT,0.01319,0.01353,0.01307,0.01333,60167070.9,204593942.45573074,15546112573.47193,15546112573.47193,6238159.35636324,0.0304904401444487
HBARUSDT,0.22797,0.22951,0.22028,0.22574,107200716.0,9305806762.290659,42392927394.96641,50000000000.0,192407964.802737,0.020676118655549545
NKNUSDT,0.0266,0.028,0.0263,0.0275,11353679.0,21013856.140990995,791835488.4053673,791835488.4053673,2200854.85227771,0.10473350714458254
STXUSDT,0.622,0.63,0.61,0.625,2227852.4,1144554478.1776805,1796088231.4377,1796088231.4377,30649744.51393091,0.0267787554881008
KAVAUSDT,0.3782,0.3822,0.3726,0.3794,7717771.6,398989399.69582856,1082853067.0,1082853067.0,7119506.39115245,0.017843848474621227
ARPAUSDT,0.02218,0.02263,0.0217,0.02241,29581928.2,33697567.49621774,1519586598.3877385,1999999999.9877386,27000432.26235863,0.8012576060687226
IOTXUSDT,0.02804,0.02826,0.02749,0.02772,24819140.0,259565907.04049504,9441368979.0,9441368983.0,3954504.11674237,0.015235067508790457
RLCUSDT,1.195,1.269,1.17,1.184,3397222.0,112332561.91999346,86999784.9868455,86999784.9868455,42999292.65032814,0.38278564928443004
BCHUSDT,530.8,554.3,524.0,552.8,38450.048,11944270152.164064,19920521.875,19920521.875,725097191.3921379,0.06070669719913901
FTTUSDT,0.8415,0.8566,0.8277,0.8474,481419.1,263446026.00570205,328895103.813207,328895103.813207,5140956.2831175,0.01951426772710638
OGNUSDT,0.0631,0.0759,0.0624,0.0671,154191875.0,41594872.366416134,661887962.0,1409664846.0,7504805.06342899,0.18042620728146289
LSKUSDT,0.373,0.379,0.369,0.376,895065.0,74688190.0244551,200461454.3753694,400000000.0,2577318.81577903,0.034507715542914354
BNTUSDT,0.7463,0.7546,0.7345,0.7521,254309.8,86427036.80781789,115188101.74069732,115188101.74069732,5726394.55218317,0.06625698119115869
MBLUSDT,0.002185,0.002211,0.002169,0.002201,657488853.0,40849109.326740116,18713887214.0,30000000000.0,4094101.53091758,0.10022498895067834
COTIUSDT,0.05091,0.05233,0.05008,0.05194,13857140.0,117467232.8864534,2333414169.166355,2333419600.0740914,6556242.28424725,0.055813371296356905
DATAUSDT,0.0165,0.01702,0.01618,0.01665,21332479.1,18838720.87157738,1180603853.0,1242523352.0,1689401.49424233,0.08967708082512055
SOLUSDT,205.09,207.06,197.52,202.7,3894576.115,112994511841.44676,541036853.2239518,608899970.6233093,7374570803.275006,0.06526485829349801
CTSIUSDT,0.0813,0.082,0.0779,0.0793,24380189.0,66704387.02445574,879438569.7111657,1000000000.0,18570958.65821553,0.27840685578006863
HIVEUSDT,0.2012,0.2042,0.1989,0.2025,1644196.0,98477425.05740397,487036522.882,487036522.882,1280673.19275509,0.013004738822207897
CHRUSDT,0.0955,0.0983,0.0941,0.0958,7584000.0,81397023.05032396,846281914.378197,846281914.378197,5482810.6708388,0.06735885988666976
ARDRUSDT,0.08432,0.08559,0.08365,0.08476,2189412.0,84191601.62343323,998466231.2566,998466231.2566,6275216.83315587,0.0745349501868756
MDTUSDT,0.02445,0.02713,0.02396,0.02486,68792142.9,17048710.04561208,676157012.5,1000000000.0,4170683.10104186,0.2446333528978805
KNCUSDT,0.379,0.3863,0.3751,0.3839,1746096.7,70694927.55346464,187633785.53428543,240463056.34363836,6338858.63943991,0.0896649711486868
LRCUSDT,0.0866,0.0891,0.0855,0.0881,14226130.0,145616961.04757506,1367105325.0232475,1373873397.4424574,41152125.20215245,0.28260530164963055
COMPUSDT,43.05,43.63,42.15,43.18,30190.122,409836817.06309754,9457131.85118033,10000000.0,21547058.22852286,0.052574725674793446
SCUSDT,0.003061,0.003096,0.00302,0.003085,79696643.0,169597974.30727515,56025636522.075195,61431315676.30304,5836465.43487249,0.03441353270115165
ZENUSDT,7.333,7.424,7.221,7.255,334170.8,124773925.97220457,17338525.73404655,21000000.0,8724963.80768991,0.06992617840392022
SNXUSDT,0.69,0.714,0.677,0.704,1682209.7,237562751.60420877,343466216.99839866,343889850.0967736,10916598.66691244,0.04595248452543617
VTHOUSDT,0.001832,0.001858,0.001808,0.00185,141947162.0,174074790.58609447,93585954822.0,93585954822.0,1476468.63742823,0.008481806196388863
DGBUSDT,0.00845,0.00855,0.00826,0.00839,41536544.1,149661253.4874852,17882526257.842735,17882526257.842735,1719671.83868013,0.011490427873664244
SXPUSDT,0.1757,0.1779,0.1733,0.1763,4254836.3,113037767.7096089,654595873.9839878,654595873.9839878,4518151.74924126,0.03997028462954324
MKRUSDT,1534.2,1570.2,1502.5,1566.8,1814.4041,0.0,0.0,870827.47,92042071.51863724,0.0
DCRUSDT,15.94,16.52,15.7,16.25,13110.979,281651029.378921,16996521.36601159,16996521.36601159,1823129.36605389,0.006473007998849283
STORJUSDT,0.2534,0.2603,0.2514,0.2593,1353801.0,108538243.20674518,418973378.63491154,424999998.00000113,6062425.31541919,0.055855200308258135
MANAUSDT,0.283,0.2881,0.2778,0.2852,3783405.0,609938280.2812479,1969729010.368757,2193179327.320146,36981928.49294534,0.06063224704619729
YFIUSDT,5323.0,5397.0,5229.0,5356.0,138.37991,180396264.14124215,33827.12753195,36646.35801769,13192327.63909759,0.07312971641568249
JSTUSDT,0.03638,0.03839,0.03551,0.03648,120901238.3,343152932.0194055,9900000000.0,9900000000.0,18129025.2776553,0.0528307456706507
CRVUSDT,0.7634,0.783,0.7513,0.7784,9243103.2,1091107931.7788577,1384532490.620405,2300782706.5467763,96889441.15973324,0.08879913557384943
SANDUSDT,0.2736,0.2783,0.2691,0.273,9613362.0,724824871.0353118,2573289192.2233224,3000000000.0,46724039.22712866,0.06446252204396609
NMRUSDT,16.24,16.78,15.39,15.51,509446.06,101698131.84597872,7533734.14130295,10663944.49561734,35208841.85021718,0.34620932765550483
DOTUSDT,3.775,3.825,3.712,3.811,3739627.01,6264374685.241279,1613801024.9413722,1613801024.9413722,210516658.321547,0.033605374662138164
LUNAUSDT,0.1462,0.1487,0.1437,0.1483,3720173.23,105069220.52220702,709984438.91686,1186707049.0,9541523.98535084,0.09081178996025939
RSRUSDT,0.007424,0.007572,0.007264,0.007491,196188161.9,454736175.5699271,59676150306.0,100000000000.0,19055284.3000374,0.04190404309961738
PAXGUSDT,3461.83,3466.73,3452.66,3462.72,2012.4206,1015681177.4443982,284178.535,284178.535,128647368.0079388,0.12666117169920812
TRBUSDT,33.05,34.29,32.36,33.79,71826.542,94152828.85644613,2710544.0,2784795.0,29494635.96248979,0.3132634071723959
SUSHIUSDT,0.7503,0.7726,0.7352,0.7641,2503427.0,216884440.7019376,276152086.65956223,285195141.7981629,25518488.24702557,0.11765937733677913
KSMUSDT,14.9,16.55,14.59,16.29,359374.6,260157029.3138322,16995472.0881579,16995472.0881579,13114436.34522187,0.050409694405764774
EGLDUSDT,14.42,14.64,14.13,14.4,92304.33,404296992.29732203,28580375.51013093,28588531.0,15418604.4825208,0.03813682707582915
DIAUSDT,0.7218,0.7382,0.704,0.7098,1246541.5,85694392.56628498,119676104.0,168817248.0,3981963.20579493,0.046467021779924095
RUNEUSDT,1.182,1.213,1.163,1.213,4080283.0,426755502.3257998,351324768.0,425415433.0,46949571.16039008,0.11001515130916148
FIOUSDT,0.01935,0.02047,0.01924,0.01981,80106406.0,16081374.70515012,817952733.7597041,839242769.7719939,3225707.35017093,0.2005865424638035
UMAUSDT,1.43,1.474,1.412,1.464,1152139.9,125164697.84269577,89842839.81317507,125987488.21294893,15166392.87460461,0.12117148953345773
BELUSDT,0.2439,0.2528,0.2405,0.2476,1804610.8,19483335.25544072,80000000.0,100000000.0,2654702.72633723,0.1362550452236305
UNIUSDT,9.633,9.827,9.404,9.726,2466593.28,6107660504.535633,628739836.71,1000000000.0,286308338.8626684,0.0468769242576682
OXTUSDT,0.0539,0.0551,0.0534,0.0546,5212136.0,53990491.34082777,997214634.4279902,1000000000.0,2659622.63047763,0.04926094511139252
SUNUSDT,0.02287,0.02291,0.02256,0.02282,33279133.0,423955963.745885,19161949451.31451,19900730000.0,13562669.8379705,0.03199075139346272
AVAXUSDT,23.54,23.94,23.1,23.78,1173614.41,10632800877.764936,422275285.48916084,457277985.48916084,792575036.7310691,0.07454056986889347
FLMUSDT,0.029,0.0297,0.0285,0.0296,6103949.0,15805561.299594285,555815502.8701313,555815502.8701313,1998947.54065361,0.12647115168917925
UTKUSDT,0.03073,0.03243,0.0303,0.03136,13406683.0,21096220.31665852,704112145.0,704112145.0,3082548.62264384,0.14611852627504662
XVSUSDT,6.25,6.37,6.14,6.35,66051.21,102056314.37792617,16305416.87621531,30000000.0,13110741.74785713,0.128465757633639
AAVEUSDT,319.2,319.78,310.25,319.39,96835.421,4983422685.896221,15225878.53952248,16000000.0,470409712.07262576,0.09439490521322838
NEARUSDT,2.43,2.464,2.393,2.435,3638301.6,3101346740.2068143,1249836992.0,1269037038.0,130948902.88221203,0.04222323843527398
FILUSDT,2.27,2.306,2.231,2.291,3574730.03,1601515685.936609,685511471.0,1959106348.0,154346552.4379227,0.09637529859575288
INJUSDT,12.98,13.21,12.78,12.92,439304.6,1329854397.825551,99970935.41,100000000.0,98102584.65480474,0.07376941777627127
AUDIOUSDT,0.0624,0.0663,0.0613,0.0633,23602836.8,84085246.49930362,1352871120.0,1352871120.0,4962546.55557976,0.05901804135902555
