symbol,open,high,low,close,volume,unlocked_mkt_cap,circulating_supply,total_supply,volume_24h,volume_market_cap_24h
HIVEUSDT,0.2012,0.2042,0.1989,0.2025,1644196.0,98477425.05740397,487036522.882,487036522.882,1280673.19275509,0.013004738822207897
SIGNUSDT,0.07068,0.07115,0.06939,0.07082,12202186.0,97566986.31076553,1350000000.0,10000000000.0,23917887.52458091,0.245143243928831
SPKUSDT,0.06275,0.06384,0.059,0.059755,147373184.0,95500736.58805145,1631759685.9779534,10000000000.0,43107344.71796974,0.45138232706953907
PEOPLEUSDT,0.01858,0.01929,0.01821,0.0192,138420949.8,95414706.82488766,5060137334.7,5060137334.7,25917635.62861125,0.2716314548466545
BICOUSDT,0.1109,0.111,0.1063,0.1071,8523258.95,95138596.22071868,978226927.9289241,1000000000.0,7348812.23518315,0.0772432275344291
TRBUSDT,33.05,34.29,32.36,33.79,71826.542,94152828.85644613,2710544.0,2784795.0,29494635.96248979,0.3132634071723959
XVGUSDT,0.005591,0.0057,0.00551,0.005607,147871539.0,92628296.04225746,16521951235.741348,16521951235.741348,7288753.79617348,0.0786881990450123
CYBERUSDT,1.926,2.108,1.899,2.01,4578226.85,91546652.41945209,51078133.0,100000000.0,11404153.21603471,0.12457203966107584
IOSTUSDT,0.003304,0.003432,0.003286,0.00336,362790978.0,90590172.58107084,27544260136.0,46493890628.0,7911257.16230894,0.0873301919723026
POWRUSDT,0.1597,0.1644,0.1583,0.1612,956479.0,90539873.64380774,568075415.977105,1000000000.0,3652991.24719844,0.04034676767464517
YGGUSDT,0.155,0.1617,0.1517,0.1569,10621954.0,90380569.28052136,594968874.3894259,999716414.322777,20175881.428459,0.223232511026098
CVCUSDT,0.0891,0.0911,0.0883,0.0909,2579849.0,90159818.42143092,1000000000.0,1000000000.0,7783758.21909297,0.08633289591056649
API3USDT,1.118,1.135,1.0972,1.1175,2505841.65,89009253.55356354,86421978.0,151252891.60436457,22935605.14863678,0.25767663734911234
MANTAUSDT,0.2005,0.2067,0.1962,0.206,6443519.9,88863817.06353691,447152188.54624534,1000000000.0,8341605.78765548,0.09386954176964174
WAXPUSDT,0.01982,0.02018,0.01963,0.02011,8059244.0,88790818.6275397,4448000724.915566,4452888436.381527,2970708.66487333,0.03345738569361409
ACXUSDT,0.1558,0.1596,0.1529,0.1562,2987590.3,88079315.86061566,609209938.7392095,1000000000.0,4870489.93497884,0.055296636757332734
PIXELUSDT,0.03124,0.03187,0.03057,0.03116,39800253.1,87875349.49384874,2983899067.66,5000000000.0,8685786.15925129,0.09884212363626836
ILVUSDT,14.01,14.56,13.88,14.22,83408.79,87287240.82798849,6338439.07131967,9072396.72232264,13799234.08298829,0.15808993332922022
STRAXUSDT,0.04334,0.04443,0.04317,0.04399,8772080.0,87204756.43665078,2002543821.6950293,2077543821.6950293,701145.56258329,0.008040221557096279
FIDAUSDT,0.0906,0.0923,0.0884,0.09,10856965.3,86497338.14159594,990911317.023454,990911317.023454,7508231.16395227,0.08680303146047469
BNTUSDT,0.7463,0.7546,0.7345,0.7521,254309.8,86427036.80781789,115188101.74069732,115188101.74069732,5726394.55218317,0.06625698119115869
ANIMEUSDT,0.01583,0.01607,0.01557,0.01585,66886927.7,85751697.8524623,5538604656.0,10000000000.0,16231737.48133165,0.18928765129827183
DIAUSDT,0.7218,0.7382,0.704,0.7098,1246541.5,85694392.56628498,119676104.0,168817248.0,3981963.20579493,0.046467021779924095
DOLOUSDT,0.2152,0.3035,0.2107,0.2927,225793686.9,85148072.86185886,441621967.0,998851995.6451048,198107041.7769952,2.3266180327815156
ARDRUSDT,0.08432,0.08559,0.08365,0.08476,2189412.0,84191601.62343323,998466231.2566,998466231.2566,6275216.83315587,0.0745349501868756
AUDIOUSDT,0.0624,0.0663,0.0613,0.0633,23602836.8,84085246.49930362,1352871120.0,1352871120.0,4962546.55557976,0.05901804135902555
