symbol,open,high,low,close,volume,unlocked_mkt_cap,circulating_supply,total_supply,volume_24h,volume_market_cap_24h
GRTUSDT,0.0878,0.0895,0.0865,0.0895,22410527.0,939700661.0874314,10468310758.786898,11343348305.720022,38084320.93624154,0.040528141048842045
PYTHUSDT,0.2164,0.2177,0.1873,0.1926,394074279.5,918150177.7152811,5749984576.63331,9999984576.63331,166705731.25387263,0.18156695418684346
CFXUSDT,0.179,0.2149,0.1788,0.1964,264439688.0,916663736.3363323,5132162458.55,5132162458.55,45951973.74431651,0.05012958615334196
RAYUSDT,3.53,3.559,3.375,3.458,3921796.2,914535697.3506111,268127089.855586,554998191.170867,61508539.75535315,0.06725657613315913
KAIAUSDT,0.1476,0.1496,0.1446,0.1492,9375068.7,903194475.3117826,6109928901.856559,6109928892.261715,20381919.94294353,0.022566479866816827
SUSDT,0.3139,0.3201,0.3076,0.316,31163710.1,891910899.3252312,2880000000.0,3222625000.0,61009876.0361855,0.06840355475232121
FLOKIUSDT,9.323e-05,9.552e-05,9.158e-05,9.401e-05,81663886499.0,888088154.8277644,9539614198014.434,9657981690933.885,50516080.38641378,0.05688183105675006
ENSUSDT,23.2,23.66,22.74,23.3,141316.1,846264087.2324665,36765219.5921461,100000000.0,52368576.36203373,0.0618820734001539
CAKEUSDT,2.487,2.519,2.455,2.5,2077389.8,828303762.325798,345515294.24501914,362271733.25055647,56991065.59934109,0.06880454754825163
NEXOUSDT,1.243,1.259,1.234,1.24,454205.35,819862303.0319347,646145839.5746847,1000000000.0,10396891.31292275,0.01268126522523841
WIFUSDT,0.794,0.817,0.779,0.807,14784325.51,816778741.2597868,998840054.020756,998840054.020756,153707377.72769144,0.1881872898535723
PENDLEUSDT,4.642,4.849,4.576,4.809,2582810.5,805951464.6255039,169289744.15541184,281527448.45853144,84627793.08821003,0.10500358495847323
THETAUSDT,0.778,0.794,0.762,0.784,1969130.0,792634497.7254176,1000000000.0,1000000000.0,29181157.16569135,0.036815401360186836
AUSDT,0.4904,0.499,0.4858,0.4949,4148150.3,772009572.4778279,1588532809.9068,2100000000.0,36179684.15273701,0.04686429474781686
XTZUSDT,0.7334,0.7447,0.725,0.7369,2596108.2,770034026.945979,1056072557.212367,1076136536.767433,19445524.7562909,0.025252812311961748
IOTAUSDT,0.192,0.1948,0.189,0.1927,7303278.0,757076644.6259924,4011255526.0,4600000000.0,15889556.39260046,0.020988041970902625
GALAUSDT,0.01604,0.01644,0.01575,0.01618,358696436.0,746079251.9653671,45843329747.05421,45843329747.05421,70755451.50497155,0.0948363747129856
VIRTUALUSDT,1.1343,1.1648,1.1155,1.1509,4975165.5,744753093.5179635,655568776.7243915,1000000000.0,131141179.57137299,0.17608678730276378
SANDUSDT,0.2736,0.2783,0.2691,0.273,9613362.0,724824871.0353118,2573289192.2233224,3000000000.0,46724039.22712866,0.06446252204396609
JASMYUSDT,0.01441,0.01485,0.0142,0.01467,100351273.6,708090733.7161628,49444999677.16958,50000000000.0,25311891.22610733,0.0357466776796624
JTOUSDT,1.995,2.004,1.907,1.936,1579571.0,702253413.8013003,372752552.7,999999671.1131605,40504345.02591454,0.05767767622041789
ZECUSDT,40.17,40.34,39.53,40.05,37553.205,675937604.7218149,16197928.1655448,16197928.1655448,86231199.58973579,0.12757272119107002
FLOWUSDT,0.399,0.401,0.387,0.398,2552582.7,664408423.3254689,1606840676.485047,1606840676.485047,25230736.38997096,0.037974738886793674
DEXEUSDT,7.546,7.737,7.477,7.683,97454.92,612799430.7149194,83733448.90505138,96504599.33609451,4550079.92036869,0.007425072042022561
MANAUSDT,0.283,0.2881,0.2778,0.2852,3783405.0,609938280.2812479,1969729010.368757,2193179327.320146,36981928.49294534,0.06063224704619729
SYRUPUSDT,0.4568,0.4792,0.4465,0.4728,30712490.8,591246180.6548729,1193941408.7663808,1200275708.54902,91784038.26107539,0.15523827681967273
ETHFIUSDT,1.079,1.113,1.054,1.082,6700462.7,533336264.5113065,466109038.0,1000000000.0,78453947.0606794,0.14710034228136798
STRKUSDT,0.1268,0.1288,0.1233,0.1278,21482216.98,507711501.4373722,4077130043.348971,10000000000.0,24948174.92358921,0.04913848682363688
TUSDUSDT,0.9972,0.9974,0.9967,0.9967,207800.0,492877289.8366475,494515083.0,494515083.0,49044982.15021691,0.09950749032578009
DYDXUSDT,0.6093,0.6224,0.596,0.6099,7480433.03,466925289.27796316,777764372.2622116,958342745.0,16613222.37916999,0.03558004408983735
NEOUSDT,6.657,7.196,6.627,6.926,2312567.59,466123756.8820929,70538831.0,100000000.0,26087676.42937928,0.05596727487970157
ZROUSDT,1.945,1.966,1.878,1.945,1943915.24,454937600.0961788,239782466.02012745,999999916.075143,22077651.84562426,0.04852896713957431
RSRUSDT,0.007424,0.007572,0.007264,0.007491,196188161.9,454736175.5699271,59676150306.0,100000000000.0,19055284.3000374,0.04190404309961738
ZKUSDT,0.06045,0.06181,0.05866,0.06023,50722036.3,442078752.8987834,7608756746.536252,13751372591.3152,24606436.49197269,0.05566075349838512
APEUSDT,0.5602,0.5728,0.5492,0.5713,2682334.57,436056178.0999504,752651515.0,1000000000.0,24097754.94473103,0.05526295957950509
ARUSDT,6.38,6.51,6.21,6.43,435923.44,427912808.7840723,65652466.0,65652466.0,35294689.17578907,0.08248102989971262
RUNEUSDT,1.182,1.213,1.163,1.213,4080283.0,426755502.3257998,351324768.0,425415433.0,46949571.16039008,0.11001515130916148
SUNUSDT,0.02287,0.02291,0.02256,0.02282,33279133.0,423955963.745885,19161949451.31451,19900730000.0,13562669.8379705,0.03199075139346272
COMPUSDT,43.05,43.63,42.15,43.18,30190.122,409836817.06309754,9457131.85118033,10000000.0,21547058.22852286,0.052574725674793446
EIGENUSDT,1.2,1.232,1.168,1.217,3677756.95,406000805.1807162,327741070.01361275,1744454796.5582418,64386991.11968269,0.1585883335650608
EGLDUSDT,14.42,14.64,14.13,14.4,92304.33,404296992.29732203,28580375.51013093,28588531.0,15418604.4825208,0.03813682707582915
AXSUSDT,2.251,2.305,2.215,2.292,1134729.46,400595514.98231834,166691344.18296844,270000000.0,24091673.93289382,0.06013964967620067
KAVAUSDT,0.3782,0.3822,0.3726,0.3794,7717771.6,398989399.69582856,1082853067.0,1082853067.0,7119506.39115245,0.017843848474621227
XECUSDT,1.996e-05,2.029e-05,1.976e-05,2.017e-05,12313597651.0,393478027.47059613,19915173422581.0,19915173422581.0,6178745.11450236,0.015702897450770834
CHZUSDT,0.03902,0.03965,0.03847,0.03946,30865422.0,390184873.8416162,9815532666.0,9815532666.0,19907334.56140256,0.05102026217829075
WUSDT,0.0845,0.0909,0.0801,0.0884,217324729.8,378478865.33145094,4743001360.0,10000000000.0,43071517.22176483,0.11380164433764398
CVXUSDT,3.604,3.624,3.497,3.59,374429.078,364477400.7925174,99411227.04175979,99920520.86267087,9999446.14603491,0.027435023747129934
SUPERUSDT,0.577,0.592,0.5663,0.5843,2754031.0,353084801.9639421,619245952.4169173,999998077.4169173,9182732.82987673,0.02600715969308272
GNOUSDT,128.8,130.42,126.7,129.34,1355.736,352290174.88629085,2639061.4997905,2999934.74597423,5128180.24954697,0.014556693927675387
1INCHUSDT,0.2444,0.25,0.2403,0.2469,3104765.8,347910965.44456863,1396095115.824982,1500000000.0,17253283.39899299,0.049591088274399016
JSTUSDT,0.03638,0.03839,0.03551,0.03648,120901238.3,343152932.0194055,9900000000.0,9900000000.0,18129025.2776553,0.0528307456706507
LUNCUSDT,5.821e-05,5.903e-05,5.763e-05,5.896e-05,20762482293.82,326320615.29649913,5504080310149.92,6489997973399.941,6661819.59733087,0.020414951691844093
MOVEUSDT,0.1227,0.1245,0.1202,0.1235,4570420.3,323487048.54918987,2700000000.0,10000000000.0,22360636.27908983,0.06912374507534462
LPTUSDT,6.943,7.396,6.753,7.087,1315592.2,315971684.8532095,44052241.25080599,44052241.25080599,61234451.18204506,0.19379727398830898
AXLUSDT,0.303,0.3098,0.2982,0.3088,3450899.29,309574984.06037587,1029523220.500861,1214509531.246926,7393992.6731871,0.023884335149461117
TWTUSDT,0.7359,0.7406,0.7278,0.7383,690942.0,307090152.3230655,416649900.0,999668148.0,10617926.11326879,0.034575925124744805
DASHUSDT,22.7,24.47,22.34,24.24,80662.143,296899830.0308279,12398855.30473307,12398855.30473307,32518321.25862328,0.10952623736849838
BERAUSDT,2.656,2.805,2.588,2.672,4086758.688,292165987.54750794,125398147.4067929,507918147.4067929,60742715.49810839,0.20790481468425978
QTUMUSDT,2.666,3.123,2.635,2.964,10708005.4,282354038.1102343,105794278.5,107822406.0,88960818.91023438,0.31506834294150604
AMPUSDT,0.003443,0.003487,0.003392,0.003425,256058160.0,282096468.25163347,84282013820.2134,99719967269.91672,6743138.63845064,0.023903662035342034
DCRUSDT,15.94,16.52,15.7,16.25,13110.979,281651029.378921,16996521.36601159,16996521.36601159,1823129.36605389,0.006473007998849283
TURBOUSDT,0.003865,0.00402,0.003795,0.003945,381884328.0,269552581.8611691,69000000000.0,69000000000.0,19114667.64975595,0.07091257489642895
FTTUSDT,0.8415,0.8566,0.8277,0.8474,481419.1,263446026.00570205,328895103.813207,328895103.813207,5140956.2831175,0.01951426772710638
KSMUSDT,14.9,16.55,14.59,16.29,359374.6,260157029.3138322,16995472.0881579,16995472.0881579,13114436.34522187,0.050409694405764774
IOTXUSDT,0.02804,0.02826,0.02749,0.02772,24819140.0,259565907.04049504,9441368979.0,9441368983.0,3954504.11674237,0.015235067508790457
KAITOUSDT,1.0622,1.14,1.0391,1.0893,6829111.4,251274264.63713366,241388889.0,1000000000.0,28639519.94162243,0.11397713165325901
TFUELUSDT,0.0341,0.03481,0.03384,0.03462,8577400.0,243837080.75570905,7058142215.0,7058142215.0,1270025.37517369,0.005208499754170201
BIOUSDT,0.1621,0.1797,0.1577,0.1634,176982107.7,243382225.39259186,1671788863.83,3320000000.0,94794401.56841363,0.38948777551649016
SNXUSDT,0.69,0.714,0.677,0.704,1682209.7,237562751.60420877,343466216.99839866,343889850.0967736,10916598.66691244,0.04595248452543617
GLMUSDT,0.2368,0.2397,0.2343,0.2384,1796963.4,237114314.93212995,1000000000.0,1000000000.0,6687620.55940429,0.02820420420976486
SFPUSDT,0.4589,0.4774,0.4571,0.4752,853971.0,235398599.03788307,500000000.0,500000000.0,2583045.001991,0.010973068712168957
BATUSDT,0.1506,0.1543,0.1486,0.1534,3430533.0,235086319.2899373,1495696056.9526057,1500000000.0,12057829.42040604,0.05129107238917993
ZRXUSDT,0.2458,0.252,0.2425,0.2509,6671500.0,233804227.36478347,848396562.8973439,1000000000.0,50984173.92505399,0.21806352476898555
CKBUSDT,0.00483,0.004999,0.004792,0.004942,493637312.0,231036258.41237545,47193956778.53666,47936393114.82492,22849235.54782513,0.09889891614779203
MINAUSDT,0.1783,0.1814,0.1751,0.1802,7369907.5,226970875.1010853,1250503673.8400393,1250503673.8400393,7014950.18212011,0.03090682969343923
ZILUSDT,0.01117,0.01134,0.01104,0.01131,67121161.1,224304596.45498353,19518770127.767723,20199925539.311054,11686106.86717361,0.05209927505662567
SUSHIUSDT,0.7503,0.7726,0.7352,0.7641,2503427.0,216884440.7019376,276152086.65956223,285195141.7981629,25518488.24702557,0.11765937733677913
OMUSDT,0.2137,0.2233,0.2115,0.2212,41859150.0,216433996.31716752,1058963950.9969921,1689092736.847415,33386235.3351646,0.15425596673010472
PLUMEUSDT,0.08131,0.08374,0.07903,0.08154,716113289.0,215196157.08833042,2650000000.0,10000000000.0,37887311.03237575,0.17605942199434516
GASUSDT,3.264,3.376,3.243,3.336,823294.2,212500741.5378038,64992331.0,64992331.0,6981337.2047178,0.032853236907297204
PNUTUSDT,0.209,0.2178,0.2052,0.2136,45428056.7,209557354.11248004,999851939.673163,999851939.673163,51605866.31465469,0.24626129936225102
SAHARAUSDT,0.08725,0.08819,0.0854,0.087,24641813.0,206994831.54296035,2208541667.0,10000000000.0,40776905.97797985,0.1969948025949473
RVNUSDT,0.01319,0.01353,0.01307,0.01333,60167070.9,204593942.45573074,15546112573.47193,15546112573.47193,6238159.35636324,0.0304904401444487
ASTRUSDT,0.02389,0.02436,0.02362,0.02409,23923436.5,192600018.13159528,8164282859.0,8504430174.0,3768398.74798807,0.019565931429005815
BLURUSDT,0.07598,0.07766,0.07475,0.07691,14208949.7,192572904.5957499,2496811098.363775,3000000000.0,9197940.94240873,0.047763422178821555
ACHUSDT,0.01984,0.02055,0.01975,0.02016,105690245.0,188599378.0086896,9453097145.70716,9999999999.999989,12583386.61697626,0.06672019149711346
NOTUSDT,0.001773,0.001806,0.001739,0.001791,822826458.0,186769339.47653008,99433648825.2978,102456956826.9109,26307241.69261246,0.14085417749158072
ORDIUSDT,8.564,8.921,8.401,8.817,639223.9,186562347.1201973,21000000.0,21000000.0,31948264.36110051,0.1712471184794704
PROVEUSDT,0.9842,0.9882,0.9489,0.974,4587479.5,183667808.05991852,195000000.0,1000000000.0,123201231.55963933,0.6707829361117382
ROSEUSDT,0.02489,0.02534,0.02431,0.02485,55955549.5,181495589.75894254,7408640794.0,10000000000.0,5853415.39489633,0.03225100622373621
